date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:09	37329/37329	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:10%20GMT	https://m.latindream.com/ficha/index/4543?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4543572f.html	(from https://m.latindream.com/)
20:59:09	16719/16719	---M--	200	added ('OK')	image/jpeg	etag:%22414f-59162eba-f2efbc5%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4543/activa/portada-4543-35764383.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4543/activa/portada-4543-35764383.jpg	(from https://m.latindream.com/)
20:59:09	27712/27712	---M--	200	added ('OK')	image/jpeg	etag:%226d68-58e6527a-d9924f1%22	https://planetaescort.cl/img/portadas/seccion/1101-1200/1152/activa/portada-1152-1740598328.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/1101-1200/1152/activa/portada-1152-1740598328.jpg	(from https://m.latindream.com/)
20:59:10	51776/51776	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:10%20GMT	https://m.latindream.com/ficha/index/1152?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/1152572f.html	(from https://m.latindream.com/)
20:59:10	27542/27542	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:11%20GMT	https://m.latindream.com/ficha/index/4539?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4539572f.html	(from https://m.latindream.com/)
20:59:10	14979/14979	---M--	200	added ('OK')	image/jpeg	etag:%223a83-5910f15e-128eaf39%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4539/activa/portada-4539-1168646926.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4539/activa/portada-4539-1168646926.jpg	(from https://m.latindream.com/)
20:59:10	26295/26295	---M--	200	added ('OK')	image/jpeg	etag:%2267d6-591a16ce-3911ae0%22	https://planetaescort.cl/img/portadas/seccion/3801-3900/3885/activa/portada-3885-488318088.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/3801-3900/3885/activa/portada-3885-488318088.jpg	(from https://m.latindream.com/)
20:59:10	55114/55114	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:11%20GMT	https://m.latindream.com/ficha/index/3885?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/3885572f.html	(from https://m.latindream.com/)
20:59:11	34256/34256	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:12%20GMT	https://m.latindream.com/ficha/index/4343?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4343572f.html	(from https://m.latindream.com/)
20:59:11	15173/15173	---M--	200	added ('OK')	image/jpeg	etag:%223b45-58c70623-b00af4b%22	https://planetaescort.cl/img/portadas/seccion/4301-4400/4343/activa/portada-4343-207559321.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4301-4400/4343/activa/portada-4343-207559321.jpg	(from https://m.latindream.com/)
20:59:11	31066/31066	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:12%20GMT	https://m.latindream.com/ficha/index/3383?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/3383572f.html	(from https://m.latindream.com/)
20:59:11	13698/13698	---M--	200	added ('OK')	image/jpeg	etag:%223582-5919e4cb-72c168f%22	https://planetaescort.cl/img/portadas/seccion/3301-3400/3383/activa/portada-3383-561932675.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/3301-3400/3383/activa/portada-3383-561932675.jpg	(from https://m.latindream.com/)
